2025-10-25 19:08:23,264 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 19:08:23,273 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 19:08:23,293 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 19:08:23,293 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 19:08:24,933 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 19:08:29,528 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 19:08:29,667 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 19:08:29,676 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 19:08:29,719 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 19:08:29,725 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 19:13:18,513 | INFO | 🛑 Application shutdown complete.
2025-10-25 19:13:20,762 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
2025-10-25 19:13:20,771 | INFO | ✅ LLM Instance created successfully: llama3.1:8b (Temp: 0.0)
2025-10-25 19:13:20,787 | WARNING | ⚠️ Detected MPS but running in process-parallel mode: forcing device -> cpu to avoid MPS multi-process failures
2025-10-25 19:13:20,787 | INFO | 📦 Creating HuggingFaceEmbeddings (model=sentence-transformers/all-MiniLM-L6-v2, device=cpu)
2025-10-25 19:13:22,325 | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-10-25 19:13:26,080 | INFO | 📦 Preloading Flashrank model 'ms-marco-MiniLM-L-12-v2' (cache dir: /Users/oddnaphat/.hf_cache_dir/flashrank_models)
2025-10-25 19:13:26,205 | INFO | ✅ Flashrank model 'ms-marco-MiniLM-L-12-v2' loaded
2025-10-25 19:13:26,214 | INFO | Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-10-25 19:13:26,242 | INFO | ✅ Loaded statements data from km_evidence_statements_checklist.json.
2025-10-25 19:13:26,249 | INFO | ✅ Data directory 'data', vectorstore 'vectorstore', and ref_data 'ref_data' ensured.
2025-10-25 19:16:04,259 | INFO | 🛑 Application shutdown complete.
2025-10-25 19:16:06,914 | WARNING | ⚠️ Initializing LLM for EVALUATION: Setting temperature=0.0 for stability.
